date,time,pickup_location,dropoff_location,trip_distance_km,trip_duration_min,surge_multiplier,driver_utilization_percent,weather_condition,dispatching_base_number,fare_amount,trip_frequency_bucket
02-01-2022,15:47,LB Nagar,Miyapur,32.0,73.0,1.31,91,Clear,HYD004,806.58,Low
02-01-2022,18:53,Kukatpally,Begumpet,10.75,23.82,2.09,67,Cloudy,HYD002,477.29,High
02-01-2022,20:11,Ameerpet,Hitech City,9.75,27.09,1.37,93,Clear,HYD004,317.45,Medium
02-01-2022,09:05,Kukatpally,Ameerpet,9.59,30.47,1.63,42,Cloudy,HYD001,388.56,High
02-01-2022,22:12,Ameerpet,Miyapur,15.08,44.91,1.28,89,Clear,HYD003,427.17,Low
02-01-2022,08:38,Secunderabad,Banjara Hills,8.89,25.66,2.07,64,Clear,HYD004,443.48,High
02-01-2022,22:12,Banjara Hills,Miyapur,19.41,40.63,1.51,47,Clear,HYD005,582.5,Medium
02-01-2022,18:22,LB Nagar,Jubilee Hills,25.68,80.37,1.73,67,Clear,HYD003,916.31,High
02-01-2022,17:53,Kukatpally,Begumpet,9.65,19.0,1.98,70,Cloudy,HYD004,424.22,High
02-01-2022,13:46,Madhapur,Gachibowli,6.1,16.51,1.42,76,Cloudy,HYD005,231.99,Medium
02-01-2022,17:21,Ameerpet,LB Nagar,22.29,63.41,2.1,84,Clear,HYD003,989.28,High
02-01-2022,15:33,Charminar,Banjara Hills,8.75,21.08,1.29,68,Clear,HYD001,267.78,Low
02-01-2022,07:14,Jubilee Hills,Charminar,14.25,30.66,1.33,61,Clear,HYD003,400.73,Low
02-01-2022,17:17,Gachibowli,Hitech City,4.64,9.2,2.26,52,Clear,HYD002,295.42,High
02-01-2022,18:17,Secunderabad,Madhapur,17.01,37.91,1.71,51,Clear,HYD003,577.1,High
02-01-2022,00:34,Begumpet,Hitech City,10.91,34.59,1.87,46,Clear,HYD001,485.78,Medium
02-01-2022,16:30,Kukatpally,LB Nagar,28.75,50.13,1.31,71,Clear,HYD001,667.24,Low
02-01-2022,16:43,Ameerpet,Charminar,11.87,25.83,1.33,78,Clear,HYD005,346.22,Low
02-01-2022,19:14,LB Nagar,Jubilee Hills,24.6,57.82,2.19,79,Cloudy,HYD001,1063.88,High
02-01-2022,22:13,Miyapur,Charminar,26.19,81.08,1.26,84,Clear,HYD005,673.27,Low
02-01-2022,13:02,Charminar,Hitech City,20.58,41.23,1.68,80,Clear,HYD005,687.41,Medium
02-01-2022,17:59,Charminar,Kukatpally,19.99,54.96,1.78,90,Clear,HYD003,708.04,High
02-01-2022,16:52,Madhapur,Gachibowli,6.26,14.46,1.26,68,Clear,HYD001,201.4,Low
03-01-2022,16:56,Jubilee Hills,Hitech City,5.04,16.4,1.13,77,Clear,HYD001,168.76,Low
03-01-2022,23:43,Gachibowli,Miyapur,8.15,15.85,1.13,51,Clear,HYD005,219.37,Low
03-01-2022,13:52,Kukatpally,Banjara Hills,12.39,29.81,1.13,66,Clear,HYD004,294.82,Low
03-01-2022,10:25,LB Nagar,Ameerpet,20.58,52.89,1.89,72,Clear,HYD001,782.94,Low
03-01-2022,17:34,Kukatpally,Jubilee Hills,7.92,17.72,1.75,43,Clear,HYD002,326.53,Medium
03-01-2022,09:08,Gachibowli,LB Nagar,32.0,73.17,1.72,85,Clear,HYD002,1070.37,Medium
03-01-2022,10:00,LB Nagar,Jubilee Hills,22.76,39.16,1.63,93,Cloudy,HYD002,675.31,Low
03-01-2022,14:45,Gachibowli,Madhapur,6.61,15.82,1.09,49,Clear,HYD004,180.61,Low
03-01-2022,08:38,LB Nagar,Begumpet,21.52,56.89,1.61,72,Cloudy,HYD003,727.37,Medium
03-01-2022,19:18,Secunderabad,Gachibowli,23.15,49.86,1.93,70,Clear,HYD003,862.65,Medium
03-01-2022,10:48,LB Nagar,Jubilee Hills,24.62,62.94,1.75,54,Clear,HYD004,860.82,Low
03-01-2022,04:47,Kukatpally,Jubilee Hills,8.52,17.46,1.2,42,Cloudy,HYD002,234.48,Low
03-01-2022,14:37,Hitech City,Banjara Hills,12.26,28.86,1.09,66,Clear,HYD002,293.91,Low
03-01-2022,06:50,Gachibowli,Jubilee Hills,8.79,21.3,1.07,74,Clear,HYD004,222.42,Low
03-01-2022,22:40,Secunderabad,Kukatpally,15.32,49.39,1.13,54,Clear,HYD001,395.46,Low
03-01-2022,13:06,Miyapur,Banjara Hills,18.45,37.15,1.11,58,Cloudy,HYD003,413.64,Low
03-01-2022,11:09,Charminar,Madhapur,18.02,36.54,1.04,64,Clear,HYD005,374.63,Low
03-01-2022,17:31,Madhapur,Begumpet,9.84,20.47,1.83,69,Clear,HYD003,412.55,Medium
03-01-2022,17:10,Banjara Hills,LB Nagar,20.09,34.65,1.98,69,Clear,HYD003,770.36,Medium
03-01-2022,08:24,Kukatpally,Banjara Hills,11.79,25.52,1.9,93,Clear,HYD004,473.46,Medium
03-01-2022,09:36,Miyapur,Ameerpet,17.62,34.47,1.85,54,Cloudy,HYD005,658.73,Medium
03-01-2022,19:14,Miyapur,Charminar,28.22,57.35,1.83,80,Clear,HYD001,998.23,Medium
03-01-2022,21:41,Ameerpet,Hitech City,10.59,34.22,1.03,60,Clear,HYD004,265.5,Low
03-01-2022,08:08,LB Nagar,Hitech City,29.95,53.59,1.53,70,Cloudy,HYD003,862.86,Medium
03-01-2022,18:21,Banjara Hills,LB Nagar,20.16,59.31,1.93,65,Cloudy,HYD005,827.51,Medium
03-01-2022,11:50,Jubilee Hills,Ameerpet,5.75,17.16,1.15,64,Clear,HYD003,176.26,Low
03-01-2022,07:14,Kukatpally,Ameerpet,9.35,16.48,1.12,80,Clear,HYD004,233.01,Low
03-01-2022,21:19,Miyapur,Jubilee Hills,11.71,37.43,1.2,55,Clear,HYD005,314.15,Low
03-01-2022,07:29,Hitech City,Secunderabad,18.69,37.58,1.12,66,Clear,HYD001,419.67,Low
03-01-2022,19:39,Jubilee Hills,Gachibowli,7.74,19.11,1.98,46,Clear,HYD003,380.84,Medium
04-01-2022,15:41,Hitech City,Ameerpet,9.79,27.67,1.17,82,Clear,HYD002,266.45,Low
04-01-2022,17:38,Ameerpet,Banjara Hills,4.04,10.95,1.78,88,Clear,HYD005,211.36,Medium
04-01-2022,08:13,Charminar,Jubilee Hills,15.69,29.97,1.54,48,Clear,HYD005,503.27,Medium
04-01-2022,09:11,Banjara Hills,Secunderabad,9.05,26.83,1.79,41,Clear,HYD002,391.09,Medium
04-01-2022,09:08,Secunderabad,Jubilee Hills,13.35,26.11,1.79,46,Clear,HYD004,494.68,Medium
04-01-2022,14:39,Ameerpet,Secunderabad,7.29,16.96,1.01,65,Cloudy,HYD004,178.97,Low
04-01-2022,17:31,Secunderabad,Kukatpally,12.97,40.17,1.53,80,Clear,HYD005,438.47,Medium
04-01-2022,15:20,Jubilee Hills,Miyapur,12.8,29.87,1.02,94,Clear,HYD005,284.0,Low
04-01-2022,18:13,Jubilee Hills,LB Nagar,26.85,64.35,1.7,60,Cloudy,HYD004,904.44,Medium
04-01-2022,10:16,Hitech City,Begumpet,12.5,28.78,1.44,87,Clear,HYD003,384.06,Low
04-01-2022,19:35,Ameerpet,Miyapur,17.78,38.72,1.71,88,Clear,HYD004,628.72,Medium
04-01-2022,20:46,Ameerpet,Hitech City,10.2,25.52,1.04,54,Clear,HYD001,243.34,Low
04-01-2022,11:35,Hitech City,Banjara Hills,12.0,25.94,1.17,92,Cloudy,HYD005,312.0,Low
04-01-2022,16:41,LB Nagar,Ameerpet,21.25,43.69,1.01,88,Clear,HYD003,409.6,Low
04-01-2022,21:22,Ameerpet,Charminar,13.78,29.93,1.03,41,Clear,HYD001,299.61,Low
04-01-2022,18:13,Jubilee Hills,Kukatpally,8.64,25.07,1.66,78,Clear,HYD001,358.44,Medium
04-01-2022,20:09,Begumpet,Miyapur,15.95,49.36,1.08,66,Clear,HYD003,378.34,Low
04-01-2022,08:32,Banjara Hills,Jubilee Hills,6.43,16.91,1.64,42,Clear,HYD002,274.86,Medium
04-01-2022,12:38,Ameerpet,Banjara Hills,3.58,6.3,1.33,47,Cloudy,HYD001,143.27,Low
04-01-2022,14:27,Begumpet,Charminar,13.01,26.05,1.17,44,Clear,HYD004,325.09,Low
04-01-2022,20:02,Jubilee Hills,Ameerpet,5.99,18.6,1.09,80,Clear,HYD004,174.97,Low
04-01-2022,10:25,Ameerpet,Jubilee Hills,5.63,9.9,1.74,67,Clear,HYD001,247.22,Low
04-01-2022,09:37,Jubilee Hills,Madhapur,3.2,5.85,1.51,44,Clear,HYD005,159.89,Medium
04-01-2022,17:33,LB Nagar,Charminar,12.39,31.05,1.91,55,Clear,HYD001,528.77,Medium
04-01-2022,07:12,Begumpet,Miyapur,16.33,31.7,1.19,69,Clear,HYD005,392.12,Low
04-01-2022,18:28,Miyapur,Madhapur,9.5,16.39,1.99,68,Clear,HYD001,407.02,Medium
04-01-2022,13:40,Gachibowli,Hitech City,5.0,12.51,1.24,63,Clear,HYD003,165.7,Low
04-01-2022,06:55,Banjara Hills,Miyapur,19.03,46.54,1.19,42,Clear,HYD004,468.4,Low
04-01-2022,21:36,Miyapur,Charminar,26.51,60.98,1.01,93,Clear,HYD003,501.31,Low
04-01-2022,23:05,LB Nagar,Secunderabad,15.52,41.92,1.09,50,Clear,HYD003,360.53,Low
05-01-2022,11:18,Jubilee Hills,Kukatpally,9.22,18.73,1.13,61,Clear,HYD001,231.01,Low
05-01-2022,15:24,Gachibowli,Hitech City,5.14,10.58,1.17,77,Cloudy,HYD002,159.11,Low
05-01-2022,21:19,Miyapur,Secunderabad,21.9,46.74,1.06,90,Cloudy,HYD003,447.85,Low
05-01-2022,19:42,Secunderabad,Miyapur,24.31,74.46,1.75,59,Clear,HYD002,844.69,Medium
05-01-2022,22:21,Kukatpally,Charminar,20.49,60.45,1.17,89,Clear,HYD005,484.25,Low
05-01-2022,19:56,LB Nagar,Ameerpet,21.47,39.16,1.8,51,Clear,HYD005,716.4,Medium
05-01-2022,19:10,Secunderabad,Kukatpally,12.88,31.94,1.98,88,Clear,HYD004,555.77,Medium
05-01-2022,09:15,Gachibowli,LB Nagar,32.0,90.15,1.69,89,Clear,HYD003,1065.06,Medium
05-01-2022,18:32,LB Nagar,Jubilee Hills,27.25,51.27,1.57,81,Cloudy,HYD004,782.23,Medium
05-01-2022,20:35,Banjara Hills,Madhapur,10.52,27.63,1.05,49,Cloudy,HYD004,258.79,Low
05-01-2022,07:58,Charminar,LB Nagar,12.34,21.89,1.08,64,Clear,HYD001,273.26,Low
05-01-2022,11:01,Hitech City,Banjara Hills,12.18,25.16,1.03,93,Cloudy,HYD004,261.47,Low
05-01-2022,17:08,Secunderabad,Kukatpally,14.07,46.67,1.63,75,Clear,HYD005,530.53,Medium
05-01-2022,15:07,Gachibowli,Charminar,21.26,67.81,1.16,47,Clear,HYD004,519.46,Low
05-01-2022,16:01,Miyapur,LB Nagar,32.0,63.54,1.0,76,Clear,HYD004,586.32,Low
05-01-2022,08:42,Banjara Hills,Madhapur,10.77,33.74,1.65,75,Clear,HYD001,431.0,Medium
05-01-2022,12:30,Ameerpet,Secunderabad,7.08,17.45,1.21,55,Clear,HYD001,204.77,Low
05-01-2022,18:47,Hitech City,Begumpet,10.9,23.97,1.59,69,Cloudy,HYD004,387.77,Medium
05-01-2022,16:51,Begumpet,Banjara Hills,5.58,9.84,1.04,42,Clear,HYD003,152.06,Low
05-01-2022,21:32,Jubilee Hills,Madhapur,3.49,11.24,1.06,43,Clear,HYD003,126.22,Low
05-01-2022,09:51,Hitech City,Kukatpally,7.92,15.51,1.59,71,Cloudy,HYD004,303.89,Medium
05-01-2022,11:51,LB Nagar,Gachibowli,32.0,63.24,1.12,74,Clear,HYD003,681.13,Low
05-01-2022,10:05,Hitech City,Secunderabad,16.38,38.42,1.48,68,Clear,HYD001,496.45,Low
05-01-2022,18:58,Hitech City,Miyapur,8.91,23.58,1.97,80,Cloudy,HYD004,399.84,Medium
05-01-2022,11:51,Secunderabad,Miyapur,20.82,67.42,1.14,48,Cloudy,HYD001,502.08,Low
05-01-2022,09:41,Hitech City,Jubilee Hills,4.82,10.46,1.74,63,Clear,HYD004,240.04,Medium
05-01-2022,18:36,Begumpet,Madhapur,10.13,26.04,1.98,51,Clear,HYD004,439.8,Medium
05-01-2022,15:58,LB Nagar,Banjara Hills,17.49,46.8,1.2,71,Clear,HYD002,430.56,Low
05-01-2022,07:54,Banjara Hills,LB Nagar,17.15,34.16,1.16,60,Cloudy,HYD003,410.77,Low
05-01-2022,17:35,LB Nagar,Gachibowli,32.0,59.13,1.96,90,Clear,HYD003,1162.59,Medium
06-01-2022,14:07,Charminar,Begumpet,12.62,28.68,1.11,75,Clear,HYD002,298.59,Low
06-01-2022,16:05,Banjara Hills,Hitech City,11.14,22.14,1.08,76,Clear,HYD001,256.43,Low
06-01-2022,07:20,Miyapur,Banjara Hills,18.48,37.51,1.18,80,Clear,HYD005,440.34,Low
06-01-2022,08:08,Jubilee Hills,Madhapur,3.8,12.04,1.48,60,Clear,HYD002,174.65,Medium
06-01-2022,11:33,Gachibowli,Banjara Hills,14.19,29.57,1.03,74,Clear,HYD001,297.04,Low
06-01-2022,14:10,Madhapur,Miyapur,8.57,17.61,1.12,76,Clear,HYD001,225.99,Low
06-01-2022,19:01,Banjara Hills,Ameerpet,4.17,8.04,1.61,79,Clear,HYD001,195.03,Medium
06-01-2022,14:40,LB Nagar,Gachibowli,32.0,82.99,1.16,69,Clear,HYD001,716.66,Low
06-01-2022,17:10,Kukatpally,Jubilee Hills,8.7,24.31,1.66,86,Clear,HYD003,351.76,Medium
06-01-2022,22:08,Hitech City,Madhapur,2.0,5.12,1.05,46,Clear,HYD001,88.15,Low
06-01-2022,10:24,Madhapur,Jubilee Hills,3.32,6.09,1.56,60,Clear,HYD002,165.78,Low
06-01-2022,18:31,LB Nagar,Kukatpally,29.72,76.71,1.97,55,Clear,HYD002,1145.35,Medium
06-01-2022,16:03,Ameerpet,Hitech City,9.99,18.16,1.09,94,Clear,HYD001,237.33,Low
06-01-2022,13:56,Gachibowli,Jubilee Hills,9.04,22.39,1.27,75,Clear,HYD003,260.36,Low
06-01-2022,06:32,Kukatpally,Madhapur,6.46,11.13,1.02,65,Clear,HYD003,166.37,Low
06-01-2022,19:21,LB Nagar,Hitech City,31.33,87.91,1.75,48,Clear,HYD003,1046.35,Medium
06-01-2022,19:33,Kukatpally,Begumpet,9.99,22.4,1.81,79,Clear,HYD003,393.54,Medium
06-01-2022,16:32,LB Nagar,Madhapur,28.14,61.24,1.0,47,Clear,HYD004,528.59,Low
06-01-2022,16:50,Secunderabad,Miyapur,20.2,46.49,1.16,76,Cloudy,HYD002,477.26,Low
06-01-2022,18:37,Kukatpally,Begumpet,9.83,19.49,1.69,55,Cloudy,HYD001,375.92,Medium
06-01-2022,16:44,Banjara Hills,Gachibowli,13.48,34.66,1.14,89,Clear,HYD005,329.03,Low
06-01-2022,21:55,Secunderabad,Ameerpet,7.56,16.91,1.2,64,Clear,HYD003,217.07,Low
06-01-2022,22:29,LB Nagar,Hitech City,30.04,61.12,1.14,56,Cloudy,HYD005,656.52,Low
06-01-2022,14:15,Gachibowli,Madhapur,6.07,10.71,1.15,84,Cloudy,HYD004,176.55,Low
06-01-2022,10:22,LB Nagar,Gachibowli,31.49,68.09,1.85,62,Clear,HYD002,1087.78,Low
06-01-2022,10:18,Secunderabad,Banjara Hills,8.14,19.14,1.64,74,Clear,HYD003,308.45,Low
06-01-2022,21:44,Gachibowli,Begumpet,15.28,29.97,1.01,54,Clear,HYD002,322.08,Low
06-01-2022,05:26,Hitech City,LB Nagar,27.3,52.66,1.11,66,Clear,HYD004,586.9,Low
06-01-2022,14:12,Gachibowli,Jubilee Hills,8.19,25.86,1.13,87,Cloudy,HYD001,224.97,Low
06-01-2022,21:11,Jubilee Hills,Begumpet,9.19,29.62,1.16,87,Cloudy,HYD003,252.29,Low
07-01-2022,20:00,Gachibowli,Miyapur,9.19,16.32,1.09,73,Clear,HYD004,223.93,Low
07-01-2022,20:08,LB Nagar,Kukatpally,28.33,53.54,1.15,85,Clear,HYD002,613.16,Low
07-01-2022,00:21,Gachibowli,Miyapur,9.33,26.3,1.46,67,Clear,HYD005,318.87,Low
07-01-2022,10:25,Miyapur,Banjara Hills,17.45,51.35,1.52,55,Clear,HYD004,553.61,Low
07-01-2022,18:21,Gachibowli,Miyapur,9.42,31.06,1.85,47,Clear,HYD004,407.86,Medium
07-01-2022,10:25,Miyapur,LB Nagar,32.0,58.02,1.75,58,Cloudy,HYD003,1035.16,Low
07-01-2022,16:14,Begumpet,LB Nagar,18.57,36.28,1.08,70,Clear,HYD005,395.1,Low
07-01-2022,19:52,Charminar,Gachibowli,23.0,49.06,1.76,63,Cloudy,HYD001,786.01,Medium
07-01-2022,21:07,Ameerpet,Madhapur,9.05,25.33,1.03,68,Clear,HYD001,227.41,Low
07-01-2022,17:45,Madhapur,Kukatpally,6.2,13.94,1.73,69,Cloudy,HYD005,273.13,Medium
07-01-2022,05:29,Miyapur,Gachibowli,9.42,22.85,1.15,42,Cloudy,HYD004,250.14,Low
07-01-2022,11:04,LB Nagar,Ameerpet,22.65,70.88,1.01,89,Cloudy,HYD002,474.67,Low
07-01-2022,18:46,Miyapur,Jubilee Hills,12.39,22.42,1.96,45,Clear,HYD005,498.96,Medium
07-01-2022,07:55,Hitech City,Banjara Hills,10.62,23.48,1.15,40,Clear,HYD001,263.02,Low
07-01-2022,23:29,Miyapur,LB Nagar,32.0,78.53,1.09,52,Clear,HYD001,652.7,Low
07-01-2022,03:42,Jubilee Hills,Miyapur,13.42,24.38,1.04,42,Clear,HYD004,276.31,Low
07-01-2022,16:45,Ameerpet,Gachibowli,15.12,36.52,1.04,43,Clear,HYD002,338.7,Low
07-01-2022,14:18,Charminar,Miyapur,26.5,56.45,1.06,49,Clear,HYD005,527.51,Low
07-01-2022,09:19,Gachibowli,Ameerpet,14.57,31.16,1.49,75,Clear,HYD004,454.48,Medium
07-01-2022,05:22,Miyapur,Secunderabad,21.85,48.71,1.08,51,Clear,HYD005,455.87,Low
07-01-2022,14:54,Charminar,Hitech City,21.19,62.16,1.01,66,Clear,HYD005,441.2,Low
07-01-2022,15:24,Charminar,Hitech City,18.52,38.33,1.17,86,Cloudy,HYD002,415.14,Low
07-01-2022,05:24,Miyapur,Madhapur,9.43,17.22,1.15,75,Clear,HYD002,243.32,Low
07-01-2022,14:55,Hitech City,Gachibowli,5.37,17.64,1.19,88,Cloudy,HYD004,174.93,Low
07-01-2022,21:44,Madhapur,Charminar,17.96,48.83,1.06,81,Clear,HYD003,396.09,Low
07-01-2022,10:23,LB Nagar,Kukatpally,29.52,55.97,1.78,53,Clear,HYD003,960.07,Low
07-01-2022,10:02,Madhapur,Charminar,19.26,63.23,1.69,58,Clear,HYD002,712.81,Low
07-01-2022,08:14,Jubilee Hills,Miyapur,13.6,30.81,1.74,92,Clear,HYD004,489.03,Medium
07-01-2022,22:41,Secunderabad,Kukatpally,14.11,27.8,1.03,51,Clear,HYD005,299.03,Low
07-01-2022,23:03,LB Nagar,Ameerpet,22.23,69.24,1.01,48,Cloudy,HYD002,451.18,Low
08-01-2022,06:09,Ameerpet,Gachibowli,14.42,35.54,1.42,71,Clear,HYD001,432.79,Low
08-01-2022,00:35,Jubilee Hills,Ameerpet,5.44,10.78,1.57,67,Clear,HYD002,227.0,Medium
08-01-2022,07:06,LB Nagar,Begumpet,18.94,39.82,1.41,65,Clear,HYD004,510.79,Low
08-01-2022,15:44,Charminar,Hitech City,20.48,37.91,1.5,64,Clear,HYD004,571.18,Low
08-01-2022,15:03,Miyapur,Ameerpet,16.93,52.35,1.33,46,Cloudy,HYD005,504.74,Low
08-01-2022,21:14,Charminar,Miyapur,27.39,87.45,1.55,42,Clear,HYD002,879.63,Medium
08-01-2022,21:20,Ameerpet,Gachibowli,14.66,28.57,1.2,55,Clear,HYD005,348.05,Medium
08-01-2022,19:24,Miyapur,LB Nagar,32.0,62.25,2.31,62,Clear,HYD001,1366.16,High
08-01-2022,07:14,Banjara Hills,Jubilee Hills,6.67,14.07,1.39,90,Clear,HYD004,231.09,Low
08-01-2022,14:22,LB Nagar,Jubilee Hills,24.5,49.74,1.3,85,Clear,HYD001,622.39,Low
08-01-2022,06:09,Jubilee Hills,Secunderabad,12.32,30.02,1.4,88,Clear,HYD003,372.86,Low
08-01-2022,07:05,Begumpet,Kukatpally,9.67,21.15,1.21,78,Clear,HYD003,254.14,Low
08-01-2022,20:00,Gachibowli,Kukatpally,11.57,35.71,1.57,50,Cloudy,HYD004,419.31,Medium
08-01-2022,08:17,Gachibowli,Hitech City,4.9,15.41,1.86,56,Clear,HYD002,254.67,High
08-01-2022,18:31,Madhapur,Miyapur,8.65,26.19,2.17,91,Clear,HYD003,460.93,High
08-01-2022,13:27,Miyapur,Madhapur,8.53,21.82,1.35,60,Cloudy,HYD003,283.05,Medium
08-01-2022,18:40,Kukatpally,Miyapur,8.96,22.84,2.1,52,Clear,HYD005,455.59,High
08-01-2022,23:11,Miyapur,LB Nagar,32.0,63.24,1.38,44,Cloudy,HYD004,839.83,Low
08-01-2022,17:08,Miyapur,Gachibowli,8.52,17.51,2.02,70,Clear,HYD005,410.51,High
08-01-2022,12:32,Secunderabad,Jubilee Hills,13.39,25.55,1.63,45,Clear,HYD001,454.5,Medium
08-01-2022,18:42,Miyapur,Hitech City,7.52,15.88,2.12,61,Clear,HYD004,393.87,High
08-01-2022,07:06,Gachibowli,Charminar,22.22,49.71,1.35,89,Clear,HYD005,583.0,Low
08-01-2022,17:09,Hitech City,Ameerpet,9.96,25.96,1.89,62,Cloudy,HYD003,439.59,High
08-01-2022,11:50,Charminar,Madhapur,18.28,42.03,1.34,91,Clear,HYD001,486.51,Medium
08-01-2022,02:21,Miyapur,Banjara Hills,19.36,55.86,1.45,75,Cloudy,HYD004,571.04,Low
08-01-2022,22:14,Jubilee Hills,Secunderabad,12.41,25.78,1.29,77,Clear,HYD004,330.31,Low
08-01-2022,12:45,Charminar,Gachibowli,21.16,42.37,1.61,63,Cloudy,HYD003,661.72,Medium
08-01-2022,08:07,Gachibowli,Secunderabad,23.27,51.77,1.98,62,Clear,HYD003,904.05,High
08-01-2022,19:39,Begumpet,Secunderabad,5.28,13.74,1.68,59,Clear,HYD001,235.39,High
08-01-2022,08:44,Begumpet,Madhapur,10.18,21.71,1.86,81,Clear,HYD002,419.91,High
